0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
143.0,6982.215572025161,-5157.740907691419,4426.700793402735,-2448.6078684390523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1752438579.9290085,0.0
144.0,6732.079843288753,-5540.751541953534,3992.438570147846,-2405.881381395273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1752438579.9424608,0.0
144.0,6742.00927767111,-5791.97371162707,4209.16203268012,-2251.434732925147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1752438579.9424608,0.0
145.0,6889.185560627375,-5896.083176643588,4504.647788279224,-2567.6638436284848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1752438579.9581409,0.0
145.0,6443.015495913569,-5481.68169210339,4253.700501252431,-2423.9750173809007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1752438579.9581409,0.0
146.0,6508.080405392684,-5119.343354846351,4133.2383236796595,-2639.299757329747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1752438579.9590075,0.0
146.0,6511.139643556438,-5276.5332199339755,4434.554583309684,-3072.8457897431217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1752438579.9590075,0.0
147.0,6740.260874441825,-5759.606747460552,4226.588096523657,-2847.9917847071774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1752438579.972511,0.0
147.0,6804.977973225061,-5623.689433320891,4353.772744266782,-2416.106267874129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1752438579.972511,0.0
148.0,6444.423568246886,-5145.517044686247,4676.582208942156,-2346.301035201177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1752438579.9881153,0.0
148.0,6003.6296097193845,-5164.468987711705,4403.724718024954,-2443.7347787967883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1752438579.9881153,0.0
149.0,5774.785131430719,-5514.097274969332,4008.4808710077778,-2358.167737760581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1752438579.9891002,0.0
149.0,5701.047393954359,-5807.93934453791,4182.135645650327,-2271.5404350869358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1752438579.9891002,0.0
150.0,5876.41878267657,-5905.058936537243,4504.630958729424,-2559.436063725967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1752438580.0025384,0.0
150.0,5526.876513117924,-5425.9272635639645,4342.558654249646,-2338.013416899368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1752438580.0025384,0.0
151.0,5476.03257322032,-5148.0994456056505,4086.970151377842,-2685.599718781188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1752438580.0182295,0.0
151.0,5549.069079454988,-5254.14243889926,4466.869188876823,-3043.7605877877213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1752438580.0182295,0.0
152.0,5686.192511330359,-4796.202909024898,4191.038477494847,-2885.6563171609305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1752438580.0191205,0.0
